Nom,Adresse,Code Postal,Commune,Distance_approx_km,Latitude,Longitude,Email,Site_Web,Telephone
Crèche Parentale Communale Les Tournesols,Avenue de Jassans 69,1342,Limelette,0,50.6860424,4.558081,lestournesols@skynet.be,https://lestournesols.wixsite.com/monsite,010/40.26.70
Maes Laurence (accueillante),Avenue Albert Ier 74,1342,Limelette,0,50.6837967,4.5585068,,,
Service Nos P'tits D'Jales (CPAS OLLN),,1342,Limelette,0,50.6837967,4.5585068,petiteenfance@cpas.olln.be,,010/43.65.11
La Pyramide (CPAS),Rue du Moulin 24,1340,Ottignies,2,50.665426,4.5680638,petiteenfance@cpas.olln.be,,010/43.28.50
Petits Loups du Bauloy (CPAS),Clos du Grand Feu 12,1340,Ottignies,2,50.6641191,4.5869264,petiteenfance@cpas.olln.be,,010/41.49.07
Les Petits Loups de la Sapinière (CPAS),Rue de la Sapinière 10,1340,Ottignies,2,50.6654147,4.5919464,petiteenfance@cpas.olln.be,,
Au Petit Bonheur,Rue du Tiernat 1,1340,Ottignies,2,50.6684372,4.5757581,aupetitbonheur.ottignies@gmail.com,https://aupetitbonheurottignies.com,010/40.03.72
La Ribambelle,Avenue du Roi Albert 27,1340,Ottignies,2,50.6650898,4.5593443,info@laribambelleasbl.be,,010/41.59.19
Les Poussins du Coin (CPAS),Rue de Franquenies 4,1341,Céroux-Mousty,3,50.6570812,4.576325,petiteenfance@cpas.olln.be,,010/41.20.34
Les Colibris (CPAS),Avenue des Iris 14,1341,Céroux-Mousty,3,50.6525288,4.5506072,petiteenfance@cpas.olln.be,,010/43.93.60
Crèche Fort Lapin,,1348,Louvain-la-Neuve,4,50.6723011,4.6160614,crechefortlapin@skynet.be,https://crechefortlapin.wordpress.com/,010/45.03.19
Crèche les Cigalons,,1348,Louvain-la-Neuve,4,50.6723011,4.6160614,contactcigalons@gmail.com,,010/45.02.43
Crèche Parentale,,1348,Louvain-la-Neuve,4,50.6656976,4.6158186,creche@crecheparentalelln.be,,010/24.42.52
